Supported Sides,Load,Length,Width,Layer Type,Thickness,COF Value
4,1,1000,1200,mono,2.5,14.02
4,1,1000,1200,mono,2.7,12.37
4,1,1000,1200,mono,3.0,11.24
4,1,1000,1200,mono,4.0,8.71
4,1,1000,1200,mono,5.0,6.87
4,1,1000,1200,mono,6.0,5.05
4,1,1000,1200,mono,8.0,2.72
4,1,1000,1200,mono,10.0,1.5
4,1,1000,1700,mono,2.5,17.48
4,1,1000,1700,mono,2.7,15.61
4,1,1000,1700,mono,3.0,14.35
4,1,1000,1700,mono,4.0,11.61
4,1,1000,1700,mono,5.0,9.64
4,1,1000,1700,mono,6.0,7.7
4,1,1000,1700,mono,8.0,5.18
4,1,1000,1700,mono,10.0,3.81
4,1,1000,1700,mono,12.0,2.91
4,1,1000,2200,mono,2.5,20.92
4,1,1000,2200,mono,2.7,18.7
4,1,1000,2200,mono,3.0,17.23
4,1,1000,2200,mono,4.0,14.11
4,1,1000,2200,mono,5.0,11.91
4,1,1000,2200,mono,6.0,9.79
4,1,1000,2200,mono,8.0,7.08
4,1,1000,2200,mono,10.0,5.62
4,1,1000,2200,mono,12.0,4.59
4,1,1000,2200,mono,16.0,25.04
4,1,1500,700,mono,2.5,14.9
4,1,1500,700,mono,2.7,11.88
4,1,1500,700,mono,3.0,10.0
4,1,1500,700,mono,4.0,6.37
4,1,1500,700,mono,5.0,4.17
4,1,1500,700,mono,6.0,2.39
4,1,1500,700,mono,8.0,0.72
4,1,1500,700,mono,10.0,0.18
4,1,1500,1200,mono,2.5,21.09
4,1,1500,1200,mono,2.7,19.01
4,1,1500,1200,mono,3.0,17.5
4,1,1500,1200,mono,4.0,13.96
4,1,1500,1200,mono,5.0,11.22
4,1,1500,1200,mono,6.0,8.4
4,1,1500,1200,mono,8.0,4.59
4,1,1500,1200,mono,10.0,2.49
4,1,1500,1200,mono,12.0,0.53
4,1,1500,1700,mono,2.5,24.99
4,1,1500,1700,mono,2.7,23.04
4,1,1500,1700,mono,3.0,21.62
4,1,1500,1700,mono,4.0,18.23
4,1,1500,1700,mono,5.0,15.54
4,1,1500,1700,mono,6.0,12.67
4,1,1500,1700,mono,8.0,8.52
4,1,1500,1700,mono,10.0,5.93
4,1,1500,1700,mono,12.0,2.85
4,1,1500,1700,mono,16.0,1.06
4,1,1500,2200,mono,2.5,28.99
4,1,1500,2200,mono,2.7,26.81
4,1,1500,2200,mono,3.0,25.24
4,1,1500,2200,mono,4.0,21.61
4,1,1500,2200,mono,5.0,18.79
4,1,1500,2200,mono,6.0,15.81
4,1,1500,2200,mono,8.0,11.51
4,1,1500,2200,mono,10.0,8.79
4,1,1500,2200,mono,12.0,5.43
4,1,1500,2200,mono,16.0,3.31
4,1,1500,2200,mono,19.0,3.31
4,1,2000,700,mono,2.5,21.09
4,1,2000,700,mono,2.7,15.74
4,1,2000,700,mono,3.0,12.73
4,1,2000,700,mono,4.0,7.57
4,1,2000,700,mono,5.0,4.83
4,1,2000,700,mono,6.0,2.82
4,1,2000,700,mono,8.0,1.06
4,1,2000,700,mono,10.0,0.46
4,1,2000,700,mono,12.0,0.17
4,1,2000,1200,mono,2.5,29.09
4,1,2000,1200,mono,2.7,26.11
4,1,2000,1200,mono,3.0,23.97
4,1,2000,1200,mono,4.0,19.05
4,1,2000,1200,mono,5.0,15.32
4,1,2000,1200,mono,6.0,11.53
4,1,2000,1200,mono,8.0,6.49
4,1,2000,1200,mono,10.0,3.73
4,1,2000,1200,mono,12.0,1.07
4,1,2000,1200,mono,16.0,0.1
4,1,2000,1700,mono,2.5,32.37
4,1,2000,1700,mono,2.7,30.32
4,1,2000,1700,mono,3.0,28.73
4,1,2000,1700,mono,4.0,24.77
4,1,2000,1700,mono,5.0,21.45
4,1,2000,1700,mono,6.0,17.76
4,1,2000,1700,mono,8.0,12.19
4,1,2000,1700,mono,10.0,8.58
4,1,2000,1700,mono,12.0,4.15
4,1,2000,1700,mono,16.0,1.47
4,1,2000,1700,mono,19.0,0.27
4,1,2000,2200,mono,2.5,36.12
4,1,2000,2200,mono,2.7,34.14
4,1,2000,2200,mono,3.0,32.62
4,1,2000,2200,mono,4.0,28.8
4,1,2000,2200,mono,5.0,25.59
4,1,2000,2200,mono,6.0,21.99
4,1,2000,2200,mono,8.0,16.4
4,1,2000,2200,mono,10.0,12.62
4,1,2000,2200,mono,12.0,7.63
4,1,2000,2200,mono,16.0,4.09
4,1,2000,2200,mono,19.0,1.94
4,1,2000,2200,mono,22.0,0.79
4,1,2500,700,mono,2.5,28.69
4,1,2500,700,mono,2.7,19.79
4,1,2500,700,mono,3.0,15.23
4,1,2500,700,mono,4.0,8.25
4,1,2500,700,mono,5.0,5.01
4,1,2500,700,mono,6.0,2.85
4,1,2500,700,mono,8.0,1.14
4,1,2500,700,mono,10.0,0.61
4,1,2500,700,mono,12.0,0.42
4,1,2500,1200,mono,2.5,39.7
4,1,2500,1200,mono,2.7,34.75
4,1,2500,1200,mono,3.0,31.4
4,1,2500,1200,mono,4.0,24.18
4,1,2500,1200,mono,5.0,19.06
4,1,2500,1200,mono,6.0,14.15
4,1,2500,1200,mono,8.0,7.98
4,1,2500,1200,mono,10.0,4.75
4,1,2500,1200,mono,12.0,1.65
4,1,2500,1200,mono,16.0,0.35
4,1,2500,1200,mono,19.0,0.02
4,1,2500,1700,mono,2.5,40.89
4,1,2500,1700,mono,2.7,38.36
4,1,2500,1700,mono,3.0,36.4
4,1,2500,1700,mono,4.0,31.47
4,1,2500,1700,mono,5.0,27.32
4,1,2500,1700,mono,6.0,22.72
4,1,2500,1700,mono,8.0,15.74
4,1,2500,1700,mono,10.0,11.21
4,1,2500,1700,mono,12.0,5.64
4,1,2500,1700,mono,16.0,2.21
4,1,2500,1700,mono,19.0,0.59
4,1,2500,1700,mono,22.0,0.04
4,1,2500,2200,mono,2.5,43.37
4,1,2500,2200,mono,2.7,41.49
4,1,2500,2200,mono,3.0,39.96
4,1,2500,2200,mono,4.0,35.9
4,1,2500,2200,mono,5.0,32.3
4,1,2500,2200,mono,6.0,28.12
4,1,2500,2200,mono,8.0,21.35
4,1,2500,2200,mono,10.0,16.62
4,1,2500,2200,mono,12.0,10.18
4,1,2500,2200,mono,16.0,5.48
4,1,2500,2200,mono,19.0,2.58
4,1,2500,2200,mono,22.0,0.92
4,1,3000,700,mono,2.5,36.05
4,1,3000,700,mono,2.7,23.35
4,1,3000,700,mono,3.0,17.27
4,1,3000,700,mono,4.0,8.66
4,1,3000,700,mono,5.0,5.02
4,1,3000,700,mono,6.0,2.78
4,1,3000,700,mono,8.0,1.12
4,1,3000,700,mono,10.0,0.63
4,1,3000,700,mono,12.0,0.5
4,1,3000,1200,mono,2.7,46.15
4,1,3000,1200,mono,3.0,40.67
4,1,3000,1200,mono,4.0,29.73
4,1,3000,1200,mono,5.0,22.63
4,1,3000,1200,mono,6.0,16.29
4,1,3000,1200,mono,8.0,8.97
4,1,3000,1200,mono,10.0,5.4
4,1,3000,1200,mono,12.0,2.09
4,1,3000,1200,mono,16.0,0.65
4,1,3000,1200,mono,19.0,0.16
4,1,3000,1700,mono,2.7,48.22
4,1,3000,1700,mono,3.0,45.46
4,1,3000,1700,mono,4.0,38.79
4,1,3000,1700,mono,5.0,33.39
4,1,3000,1700,mono,6.0,27.55
4,1,3000,1700,mono,8.0,18.98
4,1,3000,1700,mono,10.0,13.57
4,1,3000,1700,mono,12.0,7.03
4,1,3000,1700,mono,16.0,3.02
4,1,3000,1700,mono,19.0,1.03
4,1,3000,1700,mono,22.0,0.2
4,1,3000,2200,mono,2.7,49.69
4,1,3000,2200,mono,3.0,47.98
4,1,3000,2200,mono,4.0,43.34
4,1,3000,2200,mono,5.0,39.16
4,1,3000,2200,mono,6.0,34.24
4,1,3000,2200,mono,8.0,26.21
4,1,3000,2200,mono,10.0,20.54
4,1,3000,2200,mono,12.0,12.76
4,1,3000,2200,mono,16.0,7.04
4,1,3000,2200,mono,19.0,3.47
4,1,3000,2200,mono,22.0,1.39
4,1,3500,700,mono,2.5,38.28
4,1,3500,700,mono,2.7,24.33
4,1,3500,700,mono,3.0,17.8
4,1,3500,700,mono,4.0,8.75
4,1,3500,700,mono,5.0,5.03
4,1,3500,700,mono,6.0,2.77
4,1,3500,700,mono,8.0,1.13
4,1,3500,700,mono,10.0,0.65
4,1,3500,700,mono,12.0,0.46
4,1,3500,700,mono,16.0,7.42
4,1,3500,1200,mono,4.0,35.97
4,1,3500,1200,mono,5.0,26.2
4,1,3500,1200,mono,6.0,18.1
4,1,3500,1200,mono,8.0,9.55
4,1,3500,1200,mono,10.0,5.7
4,1,3500,1200,mono,12.0,2.34
4,1,3500,1200,mono,16.0,0.91
4,1,3500,1200,mono,19.0,0.39
4,1,3500,1200,mono,22.0,0.79
4,1,3500,1700,mono,4.0,47.28
4,1,3500,1700,mono,5.0,39.94
4,1,3500,1700,mono,6.0,32.39
4,1,3500,1700,mono,8.0,21.87
4,1,3500,1700,mono,10.0,15.53
4,1,3500,1700,mono,12.0,8.16
4,1,3500,1700,mono,16.0,3.74
4,1,3500,1700,mono,19.0,1.5
4,1,3500,1700,mono,22.0,0.46
4,1,3500,2200,mono,5.0,46.46
4,1,3500,2200,mono,6.0,40.5
4,1,3500,2200,mono,8.0,30.92
4,1,3500,2200,mono,10.0,24.25
4,1,3500,2200,mono,12.0,15.19
4,1,3500,2200,mono,16.0,8.58
4,1,3500,2200,mono,19.0,4.44
4,1,3500,2200,mono,22.0,1.98
4,1,4000,700,mono,2.5,30.44
4,1,4000,700,mono,2.7,20.41
4,1,4000,700,mono,3.0,15.48
4,1,4000,700,mono,4.0,8.24
4,1,4000,700,mono,5.0,5.02
4,1,4000,700,mono,6.0,2.93
4,1,4000,700,mono,8.0,1.28
4,1,4000,700,mono,10.0,0.74
4,1,4000,700,mono,12.0,0.43
4,1,4000,700,mono,16.0,1.08
4,1,4000,1200,mono,4.0,42.99
4,1,4000,1200,mono,5.0,29.83
4,1,4000,1200,mono,6.0,19.7
4,1,4000,1200,mono,8.0,9.85
4,1,4000,1200,mono,10.0,5.78
4,1,4000,1200,mono,12.0,2.43
4,1,4000,1200,mono,16.0,1.07
4,1,4000,1200,mono,19.0,0.59
4,1,4000,1200,mono,22.0,0.87
4,1,4000,1700,mono,5.0,47.32
4,1,4000,1700,mono,6.0,37.4
4,1,4000,1700,mono,8.0,24.45
4,1,4000,1700,mono,10.0,17.12
4,1,4000,1700,mono,12.0,8.99
4,1,4000,1700,mono,16.0,4.3
4,1,4000,1700,mono,19.0,1.93
4,1,4000,1700,mono,22.0,0.76
4,1,4000,2200,mono,6.0,47.13
4,1,4000,2200,mono,8.0,35.54
4,1,4000,2200,mono,10.0,27.71
4,1,4000,2200,mono,12.0,17.36
4,1,4000,2200,mono,16.0,9.96
4,1,4000,2200,mono,19.0,5.37
4,1,4000,2200,mono,22.0,2.61
